replicate,order,model_type,maf,heritability,detected_all_top_5pct,precision_top_5pct,recall_top_5pct,f1_top_5pct,precision_exact,recall_exact,mean_causal_rank,max_causal_rank
1,2,xor,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,238.0,424
2,2,xor,0.2,0.2,0,0.02,0.5,0.038461538461538464,0.0,0.0,176.0,325
3,2,xor,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0,903.5,933
